class,bug_type,priority,category,sourcefile,sourcepath,start_line,end_line
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUStartData$Builder,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,18281,18511
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Request,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,15313,16203
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Request,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,15313,16203
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Request,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,15313,16203
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Request,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,2,CORRECTNESS,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,15313,16203
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Request$Builder,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,15688,16154
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Request$Builder,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,15688,16154
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Response,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,16265,17113
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Response,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,16265,17113
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Response,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,16265,17113
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Response,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,2,CORRECTNESS,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,16265,17113
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Response$Builder,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,16616,17064
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Response$Builder,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,16616,17064
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateResp,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,17172,18014
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateResp,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,17172,18014
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateResp,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,17172,18014
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateResp,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,2,CORRECTNESS,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,17172,18014
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateResp$Builder,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,17522,17965
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateResp$Builder,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,17522,17965
org.traccar.protobuf.dolphin.Messages.DolphinMessages$IOData,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,3145,3658
org.traccar.protobuf.dolphin.Messages.DolphinMessages$IOData,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,3145,3658
org.traccar.protobuf.dolphin.Messages.DolphinMessages$IOData,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,3145,3658
org.traccar.protobuf.dolphin.Messages.DolphinMessages$IOData,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,2,CORRECTNESS,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,3145,3658
org.traccar.protobuf.dolphin.Messages.DolphinMessages$IOData$Builder,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,3384,3609
org.traccar.protobuf.dolphin.Messages.DolphinMessages$IOData$Builder,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,3384,3609
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogMessage,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,19933,20577
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogMessage,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,19933,20577
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogMessage,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,19933,20577
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogMessage,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,2,CORRECTNESS,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,19933,20577
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogMessage$Builder,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,20217,20528
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogMessage$Builder,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,20217,20528
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogPack,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,20613,21317
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogPack,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,20613,21317
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogPack,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,20613,21317
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogPack,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,2,CORRECTNESS,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,20613,21317
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogPack$Builder,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,20851,21268
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogPack$Builder,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,20851,21268
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogStart,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,21340,21782
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogStart,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,21340,21782
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogStart,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,21340,21782
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogStart,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,2,CORRECTNESS,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,21340,21782
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogStart$Builder,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,21552,21733
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogStart$Builder,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,21552,21733
org.traccar.protobuf.dolphin.Messages.DolphinMessages$USSDData,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,24600,25421
org.traccar.protobuf.dolphin.Messages.DolphinMessages$USSDData,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,24600,25421
org.traccar.protobuf.dolphin.Messages.DolphinMessages$USSDData,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,24600,25421
org.traccar.protobuf.dolphin.Messages.DolphinMessages$USSDData,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,2,CORRECTNESS,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,24600,25421
org.traccar.protobuf.dolphin.Messages.DolphinMessages$USSDData$Builder,EI_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,24950,25372
org.traccar.protobuf.dolphin.Messages.DolphinMessages$USSDData$Builder,MS_EXPOSE_REP,2,MALICIOUS_CODE,DolphinMessages.java,org/traccar/protobuf/dolphin/Messages/DolphinMessages.java,24950,25372
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass,MS_EXPOSE_REP,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,10,45014
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage,EI_EXPOSE_REP,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,215,44602
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage,EI_EXPOSE_REP,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,215,44602
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage,MS_EXPOSE_REP,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,215,44602
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage,MS_EXPOSE_REP,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,215,44602
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,2,CORRECTNESS,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,215,44602
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,OmnicommMessageOuterClass.java,org/traccar/protobuf/omnicomm/OmnicommMessageOuterClass.java,42849,44553
