file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Pt60ProtocolDecoder.java,org.traccar.protocol.Pt60ProtocolDecoder,"sendResponse/5[org.traccar.protocol.Channel,java.net.SocketAddress,java.lang.String,int,java.lang.String]",false,63,2,2,1,1,3,4,13,0,2,5,4,0,0,0,1,0,0,4,1,3,1,2,0,0,0,13,2,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Gl200ProtocolEncoder.java,org.traccar.protocol.Gl200ProtocolEncoder,encodeCommand/1[org.traccar.model.Command],false,29,2,1,0,1,6,3,17,6,0,1,3,0,0,0,0,0,0,6,0,0,0,1,0,0,0,14,4,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Gl200ProtocolEncoder.java,org.traccar.protocol.Gl200ProtocolEncoder,Gl200ProtocolEncoder/1[org.traccar.protocol.Protocol],true,24,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/TmgProtocol.java,org.traccar.protocol.TmgProtocol$Anonymous1,"addProtocolHandlers/2[org.traccar.protocol.PipelineBuilder,org.traccar.protocol.Config]",false,33,6,89,0,89,1,1,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/VisiontekProtocol.java,org.traccar.protocol.VisiontekProtocol$Anonymous1,"addProtocolHandlers/2[org.traccar.protocol.PipelineBuilder,org.traccar.protocol.Config]",false,34,6,89,0,89,1,1,6,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,4,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/storage/query/Limit.java,org.traccar.storage.query.Limit,getValue/0,false,26,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/storage/query/Limit.java,org.traccar.storage.query.Limit,Limit/1[int],true,22,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/XirgoProtocol.java,org.traccar.protocol.XirgoProtocol,XirgoProtocol/1[org.traccar.config.Config],true,32,3,0,0,0,1,3,22,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/OrbcommProtocol.java,org.traccar.protocol.OrbcommProtocol,OrbcommProtocol/1[org.traccar.protocol.Config],true,31,3,0,0,0,1,2,12,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/StringProtocolEncoder.java,org.traccar.StringProtocolEncoder,StringProtocolEncoder/1[org.traccar.Protocol],true,22,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/StringProtocolEncoder.java,org.traccar.StringProtocolEncoder,"formatCommand/4[org.traccar.Command,java.lang.String,org.traccar.StringProtocolEncoder.ValueFormatter,java.lang.String[]]",false,30,3,12,10,2,7,8,23,1,4,4,8,0,0,1,4,0,0,1,1,9,0,3,0,0,0,13,4,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/StringProtocolEncoder.java,org.traccar.StringProtocolEncoder,"formatCommand/3[org.traccar.Command,java.lang.String,java.lang.String[]]",false,55,2,8,7,1,1,1,3,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/handler/AcknowledgementHandler.java,org.traccar.handler.AcknowledgementHandler$EventDecoded,EventDecoded/1[java.util.Collection<java.lang.Object>],true,43,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/handler/AcknowledgementHandler.java,org.traccar.handler.AcknowledgementHandler$EventDecoded,getObjects/0,false,47,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/TechTltProtocol.java,org.traccar.protocol.TechTltProtocol$Anonymous1,"addProtocolHandlers/2[org.traccar.PipelineBuilder,org.traccar.config.Config]",false,33,5,95,0,95,1,1,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/GalileoFrameDecoder.java,org.traccar.protocol.GalileoFrameDecoder,"decode/3[org.traccar.protocol.ChannelHandlerContext,org.traccar.protocol.Channel,org.traccar.protocol.ByteBuf]",false,29,3,0,0,0,3,4,10,3,1,3,4,0,0,0,0,0,1,0,2,1,3,1,0,0,0,22,4,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/geolocation/GoogleGeolocationProvider.java,org.traccar.geolocation.GoogleGeolocationProvider,"GoogleGeolocationProvider/2[org.traccar.geolocation.Client,java.lang.String]",true,24,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/TramigoProtocol.java,org.traccar.protocol.TramigoProtocol$Anonymous1,"addProtocolHandlers/2[org.traccar.PipelineBuilder,org.traccar.config.Config]",false,31,4,95,0,95,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/VtfmsProtocol.java,org.traccar.protocol.VtfmsProtocol,VtfmsProtocol/1[org.traccar.config.Config],true,29,3,0,0,0,1,2,17,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/BstplProtocol.java,org.traccar.protocol.BstplProtocol,BstplProtocol/1[org.traccar.config.Config],true,31,3,0,0,0,1,2,11,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/AutoFonProtocol.java,org.traccar.protocol.AutoFonProtocol$Anonymous1,"addProtocolHandlers/2[org.traccar.protocol.PipelineBuilder,org.traccar.protocol.Config]",false,31,4,89,0,89,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,getLocationAreaCode/0,false,72,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,"from/5[int,int,int,long,int]",false,36,1,22,20,2,1,2,5,1,1,5,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,"fromCidLac/3[org.traccar.model.Config,long,int]",false,46,2,2,1,1,1,1,3,1,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,equals/1[java.lang.Object],false,117,1,0,0,0,4,2,10,3,1,1,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,11,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,getSignalStrength/0,false,102,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,hashCode/0,false,134,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,"from/4[int,int,int,long]",false,27,1,25,20,5,1,4,8,1,1,4,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,8,9,0,false
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/CellTower.java,org.traccar.model.CellTower,setLocationAreaCode/1[java.lang.Integer],false,76,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
