class,qtd_refactorings,bugs_6.3,bugs_6.4
org.traccar.session.cache.CacheManager,7,5,5
org.traccar.reports.SummaryReportProvider,1,2,2
org.traccar.protocol.HuabaoProtocolDecoder,1,1,1
org.traccar.session.ConnectionManager,1,3,3
