commit,refactoring_type,description,file_path,class
5606aed5bd84ee5a7748c9e43935b8f39c30008d,Extract Variable,"Extract Variable engineHours : long in method private calculateDeviceResult(device Device, from Date, to Date, fast boolean) : Collection<SummaryReportItem> from class org.traccar.reports.SummaryReportProvider",src/main/java/org/traccar/reports/SummaryReportProvider.java,org.traccar.reports.SummaryReportProvider
5606aed5bd84ee5a7748c9e43935b8f39c30008d,Extract Variable,"Extract Variable engineHours : long in method private calculateDeviceResult(device Device, from Date, to Date, fast boolean) : Collection<SummaryReportItem> from class org.traccar.reports.SummaryReportProvider",src/main/java/org/traccar/reports/SummaryReportProvider.java,org.traccar.reports.SummaryReportProvider
43b876dec70353f96cb82f7b3b95b322741a18ef,Add Parameter,"Add Parameter deviceSession : DeviceSession in method private decodeCoordinates(position Position, deviceSession DeviceSession, buf ByteBuf) : void from class org.traccar.protocol.HuabaoProtocolDecoder",src/main/java/org/traccar/protocol/HuabaoProtocolDecoder.java,org.traccar.protocol.HuabaoProtocolDecoder
43b876dec70353f96cb82f7b3b95b322741a18ef,Add Parameter,"Add Parameter deviceSession : DeviceSession in method private decodeCoordinates(position Position, deviceSession DeviceSession, buf ByteBuf) : void from class org.traccar.protocol.HuabaoProtocolDecoder",src/main/java/org/traccar/protocol/HuabaoProtocolDecoder.java,org.traccar.protocol.HuabaoProtocolDecoder
66ff2064b26a9a7b3a3323528943b955766462b9,Extract Variable,Extract Variable references : int in method public addDevice(deviceId long) : void from class org.traccar.session.cache.CacheManager,src/main/java/org/traccar/session/cache/CacheManager.java,org.traccar.session.cache.CacheManager
66ff2064b26a9a7b3a3323528943b955766462b9,Extract Variable,Extract Variable references : int in method public addDevice(deviceId long) : void from class org.traccar.session.cache.CacheManager,src/main/java/org/traccar/session/cache/CacheManager.java,org.traccar.session.cache.CacheManager
66ff2064b26a9a7b3a3323528943b955766462b9,Extract Variable,Extract Variable references : int in method public removeDevice(deviceId long) : void from class org.traccar.session.cache.CacheManager,src/main/java/org/traccar/session/cache/CacheManager.java,org.traccar.session.cache.CacheManager
66ff2064b26a9a7b3a3323528943b955766462b9,Extract Variable,Extract Variable references : int in method public removeDevice(deviceId long) : void from class org.traccar.session.cache.CacheManager,src/main/java/org/traccar/session/cache/CacheManager.java,org.traccar.session.cache.CacheManager
38cba6d8a21901ff40a3aa1589557ffa9c38d1e8,Extract Variable,Extract Variable connectionKey : ConnectionKey in method private removeDeviceSession(deviceId long) : void from class org.traccar.session.ConnectionManager,src/main/java/org/traccar/session/ConnectionManager.java,org.traccar.session.ConnectionManager
38cba6d8a21901ff40a3aa1589557ffa9c38d1e8,Extract Variable,Extract Variable connectionKey : ConnectionKey in method private removeDeviceSession(deviceId long) : void from class org.traccar.session.ConnectionManager,src/main/java/org/traccar/session/ConnectionManager.java,org.traccar.session.ConnectionManager
