commit,refactoring_type,description,file_path,class
3d793f502e1d48eb9c1dd60005ccf6c8682d73ca,Rename Class,Rename Class org.traccar.geocoder.TestGeocoder renamed to org.traccar.geocoder.PlusCodesGeocoder,src/main/java/org/traccar/geocoder/PlusCodesGeocoder.java,org.traccar.geocoder.PlusCodesGeocoder
b017ab22e2f612aa19d0bd62581b6e889a142dfa,Add Parameter,"Add Parameter scheduled : boolean in method public logReport(userId long, scheduled boolean, report String, from Date, to Date, deviceIds List<Long>, groupIds List<Long>) : void from class org.traccar.helper.LogAction",src/main/java/org/traccar/helper/LogAction.java,org.traccar.helper.LogAction
b017ab22e2f612aa19d0bd62581b6e889a142dfa,Add Parameter,"Add Parameter scheduled : boolean in method public logReport(userId long, scheduled boolean, report String, from Date, to Date, deviceIds List<Long>, groupIds List<Long>) : void from class org.traccar.helper.LogAction",src/main/java/org/traccar/helper/LogAction.java,org.traccar.helper.LogAction
f752a0b5990d4687e7dfb870faf7adbedd3a06c3,Merge Conditional,"Merge Conditional [if(!ignorePositions), if(processInvalidPositions || position.getValid())] to if(!ignorePositions && (processInvalidPositions || position.getValid())) in method public handlePosition(position Position, callback Callback) : void from class org.traccar.handler.GeocoderHandler",src/main/java/org/traccar/handler/GeocoderHandler.java,org.traccar.handler.GeocoderHandler
f752a0b5990d4687e7dfb870faf7adbedd3a06c3,Merge Conditional,"Merge Conditional [if(!ignorePositions), if(processInvalidPositions || position.getValid())] to if(!ignorePositions && (processInvalidPositions || position.getValid())) in method public handlePosition(position Position, callback Callback) : void from class org.traccar.handler.GeocoderHandler",src/main/java/org/traccar/handler/GeocoderHandler.java,org.traccar.handler.GeocoderHandler
341eaa2886a89c247f70973f22e4416325f9f34b,Rename Class,Rename Class org.traccar.web.ModernDefaultServlet renamed to org.traccar.web.DefaultOverrideServlet,src/main/java/org/traccar/web/DefaultOverrideServlet.java,org.traccar.web.DefaultOverrideServlet
132f619e996328c6fcb68d824b63edba69c8a2d6,Extract Method,"Extract Method private decodeEvents(position Position, buf ByteBuf) : void extracted from protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object in class org.traccar.protocol.SnapperProtocolDecoder",src/main/java/org/traccar/protocol/SnapperProtocolDecoder.java,org.traccar.protocol.SnapperProtocolDecoder
132f619e996328c6fcb68d824b63edba69c8a2d6,Extract Method,"Extract Method private decodeEvents(position Position, buf ByteBuf) : void extracted from protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object in class org.traccar.protocol.SnapperProtocolDecoder",src/main/java/org/traccar/protocol/SnapperProtocolDecoder.java,org.traccar.protocol.SnapperProtocolDecoder
132f619e996328c6fcb68d824b63edba69c8a2d6,Extract Method,"Extract Method private decodeEvents(position Position, buf ByteBuf) : void extracted from protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object in class org.traccar.protocol.SnapperProtocolDecoder",src/main/java/org/traccar/protocol/SnapperProtocolDecoder.java,org.traccar.protocol.SnapperProtocolDecoder
132f619e996328c6fcb68d824b63edba69c8a2d6,Extract Method,"Extract Method private decodeEvents(position Position, buf ByteBuf) : void extracted from protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object in class org.traccar.protocol.SnapperProtocolDecoder",src/main/java/org/traccar/protocol/SnapperProtocolDecoder.java,org.traccar.protocol.SnapperProtocolDecoder
132f619e996328c6fcb68d824b63edba69c8a2d6,Extract Method,"Extract Method private decodeEvents(position Position, buf ByteBuf) : void extracted from protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object in class org.traccar.protocol.SnapperProtocolDecoder",src/main/java/org/traccar/protocol/SnapperProtocolDecoder.java,org.traccar.protocol.SnapperProtocolDecoder
132f619e996328c6fcb68d824b63edba69c8a2d6,Extract Method,"Extract Method private decodeEvents(position Position, buf ByteBuf) : void extracted from protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object in class org.traccar.protocol.SnapperProtocolDecoder",src/main/java/org/traccar/protocol/SnapperProtocolDecoder.java,org.traccar.protocol.SnapperProtocolDecoder
132f619e996328c6fcb68d824b63edba69c8a2d6,Extract Method,"Extract Method private decodeEvents(position Position, buf ByteBuf) : void extracted from protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object in class org.traccar.protocol.SnapperProtocolDecoder",src/main/java/org/traccar/protocol/SnapperProtocolDecoder.java,org.traccar.protocol.SnapperProtocolDecoder
132f619e996328c6fcb68d824b63edba69c8a2d6,Extract Method,"Extract Method private decodeEvents(position Position, buf ByteBuf) : void extracted from protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object in class org.traccar.protocol.SnapperProtocolDecoder",src/main/java/org/traccar/protocol/SnapperProtocolDecoder.java,org.traccar.protocol.SnapperProtocolDecoder
132f619e996328c6fcb68d824b63edba69c8a2d6,Extract Method,"Extract Method private decodeEvents(position Position, buf ByteBuf) : void extracted from protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object in class org.traccar.protocol.SnapperProtocolDecoder",src/main/java/org/traccar/protocol/SnapperProtocolDecoder.java,org.traccar.protocol.SnapperProtocolDecoder
