commit,refactoring_type,description,file_path,class
b2f021bc447884d85c9fbcce93bb708d3702d1d8,Inline Variable,"Inline Variable groupId : long in method public checkEdit(userId long, object Object, addition boolean) : void from class org.traccar.api.security.PermissionsService",src/main/java/org/traccar/api/security/PermissionsService.java,org.traccar.api.security.PermissionsService
b2f021bc447884d85c9fbcce93bb708d3702d1d8,Change Parameter Type,"Change Parameter Type object : Object to object : BaseModel in method public checkEdit(userId long, object BaseModel, addition boolean) : void from class org.traccar.api.security.PermissionsService",src/main/java/org/traccar/api/security/PermissionsService.java,org.traccar.api.security.PermissionsService
b2f021bc447884d85c9fbcce93bb708d3702d1d8,Change Parameter Type,"Change Parameter Type object : Object to object : BaseModel in method public checkEdit(userId long, object BaseModel, addition boolean) : void from class org.traccar.api.security.PermissionsService",src/main/java/org/traccar/api/security/PermissionsService.java,org.traccar.api.security.PermissionsService
b2f021bc447884d85c9fbcce93bb708d3702d1d8,Change Parameter Type,"Change Parameter Type object : Object to object : BaseModel in method public checkEdit(userId long, object BaseModel, addition boolean) : void from class org.traccar.api.security.PermissionsService",src/main/java/org/traccar/api/security/PermissionsService.java,org.traccar.api.security.PermissionsService
b2f021bc447884d85c9fbcce93bb708d3702d1d8,Change Parameter Type,"Change Parameter Type object : Object to object : BaseModel in method public checkEdit(userId long, object BaseModel, addition boolean) : void from class org.traccar.api.security.PermissionsService",src/main/java/org/traccar/api/security/PermissionsService.java,org.traccar.api.security.PermissionsService
a87c77da9e8d39856e2a16ae3d3aa385e068a1e8,Change Variable Type,Change Variable Type userId : long to userId : Long in method public configure(factory JettyWebSocketServletFactory) : void from class org.traccar.api.AsyncSocketServlet,src/main/java/org/traccar/api/AsyncSocketServlet.java,org.traccar.api.AsyncSocketServlet
a87c77da9e8d39856e2a16ae3d3aa385e068a1e8,Change Variable Type,Change Variable Type userId : long to userId : Long in method public configure(factory JettyWebSocketServletFactory) : void from class org.traccar.api.AsyncSocketServlet,src/main/java/org/traccar/api/AsyncSocketServlet.java,org.traccar.api.AsyncSocketServlet
64391161c1fb03bd9ff5ea30749b4e00230fa8aa,Remove Thrown Exception Type,"Remove Thrown Exception Type Exception in method private decodeTcp(channel Channel, remoteAddress SocketAddress, buf ByteBuf) : Object from class org.traccar.protocol.TeltonikaProtocolDecoder",src/main/java/org/traccar/protocol/TeltonikaProtocolDecoder.java,org.traccar.protocol.TeltonikaProtocolDecoder
64391161c1fb03bd9ff5ea30749b4e00230fa8aa,Remove Thrown Exception Type,"Remove Thrown Exception Type Exception in method private decodeUdp(channel Channel, remoteAddress SocketAddress, buf ByteBuf) : Object from class org.traccar.protocol.TeltonikaProtocolDecoder",src/main/java/org/traccar/protocol/TeltonikaProtocolDecoder.java,org.traccar.protocol.TeltonikaProtocolDecoder
3b36ac38a0c4e193ea8085eb5556dffd8205bb17,Extract Variable,"Extract Variable initialValue : boolean in method public detectTripsAndStops(device Device, positionCollection Collection<Position>, ignoreOdometer boolean, reportClass Class<T>) : Collection<T> from class org.traccar.reports.common.ReportUtils",src/main/java/org/traccar/reports/common/ReportUtils.java,org.traccar.reports.common.ReportUtils
3b36ac38a0c4e193ea8085eb5556dffd8205bb17,Extract Variable,"Extract Variable initialValue : boolean in method public detectTripsAndStops(device Device, positionCollection Collection<Position>, ignoreOdometer boolean, reportClass Class<T>) : Collection<T> from class org.traccar.reports.common.ReportUtils",src/main/java/org/traccar/reports/common/ReportUtils.java,org.traccar.reports.common.ReportUtils
3b36ac38a0c4e193ea8085eb5556dffd8205bb17,Remove Method Annotation,Remove Method Annotation @Ignore in method public testMotionFluctuation() : void from class org.traccar.handler.events.MotionEventHandlerTest,src/test/java/org/traccar/handler/events/MotionEventHandlerTest.java,src.test.java.org.traccar.handler.events.MotionEventHandlerTest
bc2eb6ab65493a18b262ffe49fe79b540862c5db,Extract Variable,"Extract Variable fragment : ByteBuf in method private decodeLocationBatch(deviceSession DeviceSession, buf ByteBuf, type int) : List<Position> from class org.traccar.protocol.HuabaoProtocolDecoder",src/main/java/org/traccar/protocol/HuabaoProtocolDecoder.java,org.traccar.protocol.HuabaoProtocolDecoder
bc2eb6ab65493a18b262ffe49fe79b540862c5db,Extract Variable,"Extract Variable fragment : ByteBuf in method private decodeLocationBatch(deviceSession DeviceSession, buf ByteBuf, type int) : List<Position> from class org.traccar.protocol.HuabaoProtocolDecoder",src/main/java/org/traccar/protocol/HuabaoProtocolDecoder.java,org.traccar.protocol.HuabaoProtocolDecoder
bc2eb6ab65493a18b262ffe49fe79b540862c5db,Rename Variable,"Rename Variable endIndex : int to length : int in method private decodeLocationBatch(deviceSession DeviceSession, buf ByteBuf, type int) : List<Position> from class org.traccar.protocol.HuabaoProtocolDecoder",src/main/java/org/traccar/protocol/HuabaoProtocolDecoder.java,org.traccar.protocol.HuabaoProtocolDecoder
bc2eb6ab65493a18b262ffe49fe79b540862c5db,Rename Variable,"Rename Variable endIndex : int to length : int in method private decodeLocationBatch(deviceSession DeviceSession, buf ByteBuf, type int) : List<Position> from class org.traccar.protocol.HuabaoProtocolDecoder",src/main/java/org/traccar/protocol/HuabaoProtocolDecoder.java,org.traccar.protocol.HuabaoProtocolDecoder
bc2eb6ab65493a18b262ffe49fe79b540862c5db,Add Parameter,"Add Parameter type : int in method private decodeLocationBatch(deviceSession DeviceSession, buf ByteBuf, type int) : List<Position> from class org.traccar.protocol.HuabaoProtocolDecoder",src/main/java/org/traccar/protocol/HuabaoProtocolDecoder.java,org.traccar.protocol.HuabaoProtocolDecoder
bc2eb6ab65493a18b262ffe49fe79b540862c5db,Add Parameter,"Add Parameter type : int in method private decodeLocationBatch(deviceSession DeviceSession, buf ByteBuf, type int) : List<Position> from class org.traccar.protocol.HuabaoProtocolDecoder",src/main/java/org/traccar/protocol/HuabaoProtocolDecoder.java,org.traccar.protocol.HuabaoProtocolDecoder
ddf72b364323ed3f787fd41c5d5126c3521b96b7,Invert Condition,Invert Condition if(latitude >= -90 && latitude <= 90) to if(latitude < -90 || latitude > 90) in method public setLatitude(latitude double) : void from class org.traccar.model.Position,src/main/java/org/traccar/model/Position.java,org.traccar.model.Position
