commit,refactoring_type,description,file_path,class
3d793f502e1d48eb9c1dd60005ccf6c8682d73ca,Rename Class,Rename Class org.traccar.geocoder.TestGeocoder renamed to org.traccar.geocoder.PlusCodesGeocoder,src/main/java/org/traccar/geocoder/PlusCodesGeocoder.java,org.traccar.geocoder.PlusCodesGeocoder
b017ab22e2f612aa19d0bd62581b6e889a142dfa,Add Parameter,"Add Parameter scheduled : boolean in method public logReport(userId long, scheduled boolean, report String, from Date, to Date, deviceIds List<Long>, groupIds List<Long>) : void from class org.traccar.helper.LogAction",src/main/java/org/traccar/helper/LogAction.java,org.traccar.helper.LogAction
b017ab22e2f612aa19d0bd62581b6e889a142dfa,Add Parameter,"Add Parameter scheduled : boolean in method public logReport(userId long, scheduled boolean, report String, from Date, to Date, deviceIds List<Long>, groupIds List<Long>) : void from class org.traccar.helper.LogAction",src/main/java/org/traccar/helper/LogAction.java,org.traccar.helper.LogAction
f752a0b5990d4687e7dfb870faf7adbedd3a06c3,Merge Conditional,"Merge Conditional [if(!ignorePositions), if(processInvalidPositions || position.getValid())] to if(!ignorePositions && (processInvalidPositions || position.getValid())) in method public handlePosition(position Position, callback Callback) : void from class org.traccar.handler.GeocoderHandler",src/main/java/org/traccar/handler/GeocoderHandler.java,org.traccar.handler.GeocoderHandler
f752a0b5990d4687e7dfb870faf7adbedd3a06c3,Merge Conditional,"Merge Conditional [if(!ignorePositions), if(processInvalidPositions || position.getValid())] to if(!ignorePositions && (processInvalidPositions || position.getValid())) in method public handlePosition(position Position, callback Callback) : void from class org.traccar.handler.GeocoderHandler",src/main/java/org/traccar/handler/GeocoderHandler.java,org.traccar.handler.GeocoderHandler
341eaa2886a89c247f70973f22e4416325f9f34b,Rename Class,Rename Class org.traccar.web.ModernDefaultServlet renamed to org.traccar.web.DefaultOverrideServlet,src/main/java/org/traccar/web/DefaultOverrideServlet.java,org.traccar.web.DefaultOverrideServlet
cff42765e3ab39dccb73ea7d49f4b6270fe9931a,Rename Variable,Rename Variable output : ByteBuf to out : ByteBuf in method private decompress(in ByteBuf) : ByteBuf from class org.traccar.protocol.FleetGuideProtocolDecoder,src/main/java/org/traccar/protocol/FleetGuideProtocolDecoder.java,org.traccar.protocol.FleetGuideProtocolDecoder
cff42765e3ab39dccb73ea7d49f4b6270fe9931a,Rename Variable,Rename Variable output : ByteBuf to out : ByteBuf in method private decompress(in ByteBuf) : ByteBuf from class org.traccar.protocol.FleetGuideProtocolDecoder,src/main/java/org/traccar/protocol/FleetGuideProtocolDecoder.java,org.traccar.protocol.FleetGuideProtocolDecoder
cff42765e3ab39dccb73ea7d49f4b6270fe9931a,Rename Variable,Rename Variable output : ByteBuf to out : ByteBuf in method private decompress(in ByteBuf) : ByteBuf from class org.traccar.protocol.FleetGuideProtocolDecoder,src/main/java/org/traccar/protocol/FleetGuideProtocolDecoder.java,org.traccar.protocol.FleetGuideProtocolDecoder
cff42765e3ab39dccb73ea7d49f4b6270fe9931a,Rename Parameter,Rename Parameter input : ByteBuf to in : ByteBuf in method private decompress(in ByteBuf) : ByteBuf from class org.traccar.protocol.FleetGuideProtocolDecoder,src/main/java/org/traccar/protocol/FleetGuideProtocolDecoder.java,org.traccar.protocol.FleetGuideProtocolDecoder
cff42765e3ab39dccb73ea7d49f4b6270fe9931a,Remove Thrown Exception Type,Remove Thrown Exception Type ReflectiveOperationException in method private decompress(input ByteBuf) : ByteBuf from class org.traccar.protocol.FleetGuideProtocolDecoder,src/main/java/org/traccar/protocol/FleetGuideProtocolDecoder.java,org.traccar.protocol.FleetGuideProtocolDecoder
7d82b0f88197f8ebfcef949abec4ddca07d9ed87,Remove Class Annotation,Remove Class Annotation @Disabled in class org.traccar.protocol.FleetGuideProtocolDecoderTest,src/test/java/org/traccar/protocol/FleetGuideProtocolDecoderTest.java,src.test.java.org.traccar.protocol.FleetGuideProtocolDecoderTest
b7bd2ce8416a4b7bbc8a5e5171f0891d894e6bc7,Extract Variable,"Extract Variable deviceId : Long in method protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object from class org.traccar.protocol.FleetGuideProtocolDecoder",src/main/java/org/traccar/protocol/FleetGuideProtocolDecoder.java,org.traccar.protocol.FleetGuideProtocolDecoder
b7bd2ce8416a4b7bbc8a5e5171f0891d894e6bc7,Extract Variable,"Extract Variable deviceId : Long in method protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object from class org.traccar.protocol.FleetGuideProtocolDecoder",src/main/java/org/traccar/protocol/FleetGuideProtocolDecoder.java,org.traccar.protocol.FleetGuideProtocolDecoder
b7bd2ce8416a4b7bbc8a5e5171f0891d894e6bc7,Extract Variable,"Extract Variable value : int in method protected decode(channel Channel, remoteAddress SocketAddress, msg Object) : Object from class org.traccar.protocol.FleetGuideProtocolDecoder",src/main/java/org/traccar/protocol/FleetGuideProtocolDecoder.java,org.traccar.protocol.FleetGuideProtocolDecoder
