file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Gs100ProtocolDecoder.java,org.traccar.protocol.Gs100ProtocolDecoder,class,8,9,1,8,12,2,0,43,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,64,3,1,4,0,0,3,36,17,9,17,4,0,0,0,44,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/ManPowerProtocolDecoder.java,org.traccar.protocol.ManPowerProtocolDecoder,class,7,8,1,7,4,2,0,21,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,25,3,0,1,0,0,14,1,4,0,4,1,0,0,0,34,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/DraginoProtocol.java,org.traccar.protocol.DraginoProtocol,class,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/helper/BitBuffer.java,org.traccar.helper.BitBuffer,class,3,4,1,3,14,1,0,5,3,0.7333333,0.4,0.4,6,0,6,0,0,0,6,0,0,0,5,0,0,5,0,0,1,0,0,72,3,2,3,0,9,0,24,28,15,9,2,0,0,0,17,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Pt60Protocol.java,org.traccar.protocol.Pt60Protocol$Anonymous1,anonymous,6,6,0,6,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,14,-1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Tt8850Protocol.java,org.traccar.protocol.Tt8850Protocol,class,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/geocoder/JsonGeocoder.java,org.traccar.geocoder.JsonGeocoder,class,11,30,19,11,20,1,17,20,13,0.69047624,0.13333334,0.2,7,0,4,1,2,0,6,1,0,0,6,1,0,6,0,0,4,0,2,92,8,0,9,1,0,2,1,11,1,11,3,2,0,0,44,1025,2
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/WindowsService.java,org.traccar.WindowsService$ServiceMain,innerclass,4,4,0,4,2,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,1,0,0,4,2,0,1,2,0,0,0,31,18,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/SanulProtocol.java,org.traccar.protocol.SanulProtocol,class,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/api/resource/NotificationResource.java,org.traccar.api.resource.NotificationResource,class,23,24,1,23,15,4,0,23,3,0.5833333,0.4,0.4,6,0,6,0,0,0,6,0,0,0,2,1,0,2,0,0,1,0,1,56,5,4,0,1,0,14,2,7,0,7,3,0,0,0,39,1,1
