class,qtd_refactorings
org.traccar.protocol.G1rusProtocolDecoder,64
src.test.java.org.traccar.handler.events.MotionEventHandlerTest,27
org.traccar.handler.events.OverspeedEventHandler,21
org.traccar.session.DeviceState,18
org.traccar.handler.events.MotionEventHandler,18
org.traccar.protocol.Xexun2ProtocolEncoder,16
src.test.java.org.traccar.handler.events.OverspeedEventHandlerTest,15
org.traccar.protocol.NdtpV6ProtocolDecoder,14
org.traccar.protocol.NDTPv6ProtocolDecoder,14
org.traccar.protocol.PiligrimProtocolDecoder,12
src.test.java.org.traccar.reports.ReportUtilsTest,12
org.traccar.session.state.OverspeedState,9
org.traccar.protocol.Xexun2FrameEncoder,8
org.traccar.session.state.OverspeedProcessor,8
org.traccar.model.BaseCommand,7
org.traccar.model.Command,7
org.traccar.MainModule,7
org.traccar.reports.common.ReportUtils,6
org.traccar.session.state.MotionProcessor,6
org.traccar.helper.Checksum,4
org.traccar.protocol.FifotrackProtocolDecoder,4
org.traccar.session.state.MotionState,3
org.traccar.database.CommandsManager,3
org.traccar.MainEventHandler,3
org.traccar.protocol.Xexun2ProtocolDecoder,2
org.traccar.notificators.NotificatorWeb,2
org.traccar.protocol.SuntechProtocolDecoder,1
org.traccar.protocol.TeltonikaProtocolDecoder,1
org.traccar.protocol.NDTPv6FrameDecoder,1
org.traccar.protocol.NdtpV6FrameDecoder,1
org.traccar.protocol.NDTPv6Protocol,1
org.traccar.protocol.NdtpV6Protocol,1
org.traccar.protocol.NDTPv6ProtocolEncoder,1
org.traccar.protocol.NdtpV6ProtocolEncoder,1
org.traccar.session.ConnectionManager,1
org.traccar.notification.EventForwarder,1
org.traccar.WebDataHandler,1
org.traccar.api.CorsResponseFilter,1
org.traccar.api.security.LoginService,1
org.traccar.api.signature.CryptoManager,1
org.traccar.api.signature.TokenManager,1
org.traccar.database.MediaManager,1
org.traccar.database.NotificationManager,1
org.traccar.handler.ComputedAttributesHandler,1
org.traccar.handler.CopyAttributesHandler,1
org.traccar.handler.DefaultDataHandler,1
org.traccar.handler.DistanceHandler,1
org.traccar.handler.EngineHoursHandler,1
org.traccar.handler.FilterHandler,1
org.traccar.handler.HemisphereHandler,1
org.traccar.handler.MotionHandler,1
org.traccar.handler.RemoteAddressHandler,1
org.traccar.handler.SpeedLimitHandler,1
org.traccar.handler.TimeHandler,1
org.traccar.handler.events.AlertEventHandler,1
org.traccar.handler.events.BehaviorEventHandler,1
org.traccar.handler.events.CommandResultEventHandler,1
org.traccar.handler.events.DriverEventHandler,1
org.traccar.handler.events.FuelEventHandler,1
org.traccar.handler.events.GeofenceEventHandler,1
org.traccar.handler.events.IgnitionEventHandler,1
org.traccar.handler.events.MaintenanceEventHandler,1
org.traccar.handler.events.MediaEventHandler,1
org.traccar.notification.NotificationFormatter,1
org.traccar.notification.TextTemplateFormatter,1
org.traccar.notificators.NotificatorMail,1
org.traccar.notificators.NotificatorPushover,1
org.traccar.notificators.NotificatorSms,1
org.traccar.notificators.NotificatorTelegram,1
org.traccar.notificators.NotificatorTraccar,1
org.traccar.reports.common.TripsConfig,1
org.traccar.web.WebServer,1
org.traccar.helper.BufferUtil,1
