class,qtd_refactorings
org.traccar.reports.common.ReportMailer,8
org.traccar.api.resource.ReportResource,6
org.traccar.schedule.TaskReports,6
org.traccar.protocol.HuabaoProtocolDecoder,3
org.traccar.helper.Log,3
src.test.java.org.traccar.helper.ServletHelperTest,3
org.traccar.reports.CombinedReportProvider,3
org.traccar.api.security.PermissionsService,2
org.traccar.protocol.TeltonikaProtocolDecoder,2
org.traccar.model.Position,2
org.traccar.protocol.GlobalstarProtocolDecoder,2
org.traccar.protocol.Tlt2hProtocolDecoder,2
org.traccar.reports.common.ReportExecutor,2
org.traccar.model.Calendar,2
org.traccar.api.AsyncSocketServlet,1
org.traccar.reports.common.ReportUtils,1
src.test.java.org.traccar.handler.events.MotionEventHandlerTest,1
org.traccar.protocol.MeitrackProtocolDecoder,1
org.traccar.protocol.CellocatorProtocolDecoder,1
org.traccar.api.resource.SessionResource,1
org.traccar.storage.query.Request,1
org.traccar.schedule.ScheduleManager,1
org.traccar.handler.ComputedAttributesHandler,1
