class,qtd_refactorings
org.traccar.database.OpenIdProvider,8
org.traccar.protocol.MeitrackProtocolDecoder,5
org.traccar.protocol.T800xProtocolDecoder,4
org.traccar.protocol.NavtelecomProtocolDecoder,3
org.traccar.database.CommandsManager,3
org.traccar.api.security.LoginService,3
org.traccar.api.resource.CommandResource,2
org.traccar.handler.ComputedAttributesHandler,2
org.traccar.protocol.DualcamProtocolDecoder,2
org.traccar.handler.DistanceHandler,2
org.traccar.api.resource.SessionResource,2
org.traccar.geocoder.HereGeocoder,2
org.traccar.reports.common.ReportUtils,2
org.traccar.protocol.HuabaoProtocolDecoder,1
org.traccar.protocol.Gt06ProtocolDecoder,1
src.test.java.org.traccar.protocol.PositrexProtocolDecoderTest,1
org.traccar.web.OverrideFilter,1
