class,qtd_refactorings
org.traccar.forward.EventForwarderJson,12
org.traccar.WebDataHandler,12
org.traccar.notification.EventForwarder,9
org.traccar.forward.PositionForwarderUrl,9
org.traccar.model.Device,7
org.traccar.storage.DatabaseStorage,5
org.traccar.storage.QueryBuilder,4
org.traccar.model.BaseCommand,3
org.traccar.model.Command,3
org.traccar.protocol.MeitrackProtocolDecoder,3
org.traccar.PositionForwardingHandler,3
org.traccar.session.cache.CacheManager,2
org.traccar.protocol.HuabaoProtocolDecoder,2
org.traccar.protocol.RfTrackProtocolDecoder,2
org.traccar.protocol.Minifinder2ProtocolDecoder,2
org.traccar.storage.query.Order,2
org.traccar.protocol.SuntechProtocolEncoder,2
org.traccar.protocol.AtrackProtocolDecoder,2
org.traccar.protocol.Gt06ProtocolDecoder,1
org.traccar.api.security.LoginService,1
org.traccar.storage.query.Condition,1
org.traccar.protocol.SuntechProtocolDecoder,1
org.traccar.model.QueuedCommand,1
org.traccar.handler.events.MaintenanceEventHandler,1
org.traccar.protocol.MeiligaoProtocolEncoder,1
org.traccar.database.NotificationManager,1
src.test.java.org.traccar.forward.PositionForwarderUrlTest,1
src.test.java.org.traccar.WebDataHandlerTest,1
org.traccar.forward.EventForwarder,1
org.traccar.MainModule,1
org.traccar.database.DeviceLookupService,1
