class,qtd_refactorings
org.traccar.protocol.Gl200TextProtocolDecoder,32
org.traccar.helper.MqttUtil,24
org.traccar.forward.MqttClient,18
org.traccar.handler.network.MainEventHandler,13
org.traccar.forward.PositionForwarderMqtt,10
org.traccar.helper.PositionLogger,8
org.traccar.protocol.FleetGuideProtocolDecoder,7
org.traccar.notification.NotificationMessage,5
org.traccar.forward.EventForwarderMqtt,5
org.traccar.session.ConnectionManager,4
org.traccar.ProcessingHandler,4
org.traccar.session.DeviceSession,3
org.traccar.notificators.Notificator,3
org.traccar.notificators.NotificatorMail,3
org.traccar.notificators.NotificatorPushover,3
org.traccar.notificators.NotificatorSms,3
org.traccar.notificators.NotificatorTelegram,3
org.traccar.notificators.NotificatorTraccar,3
org.traccar.protocol.SigfoxProtocolDecoder,2
org.traccar.notificators.NotificatorFirebase,2
org.traccar.handler.DatabaseHandler,2
org.traccar.database.BufferingManager,2
org.traccar.handler.BasePositionHandler,2
src.test.java.org.traccar.protocol.FleetGuideProtocolDecoderTest,1
org.traccar.protocol.Tlt2hProtocolDecoder,1
org.traccar.api.resource.ServerResource,1
org.traccar.protocol.MeiligaoProtocolEncoder,1
org.traccar.BaseProtocolEncoder,1
org.traccar.notification.TextTemplateFormatter,1
org.traccar.protocol.KhdProtocolDecoder,1
src.test.java.org.traccar.geolocation.GeolocationProviderTest,1
org.traccar.handler.StandardLoggingHandler,1
org.traccar.model.LogRecord,1
org.traccar.handler.network.RemoteAddressHandler,1
org.traccar.handler.PostProcessHandler,1
