class,qtd_refactorings
org.traccar.protocol.MeitrackProtocolDecoder,7
org.traccar.protocol.Gl200TextProtocolDecoder,5
org.traccar.protocol.H02ProtocolDecoder,5
org.traccar.protocol.AstraProtocolDecoder,4
org.traccar.protocol.Minifinder2ProtocolDecoder,3
org.traccar.protocol.SnapperProtocolDecoder,3
org.traccar.schedule.TaskReports,3
org.traccar.api.security.PermissionsService,2
org.traccar.helper.Log,2
org.traccar.geocoder.GeocodeJSONGeocoder,2
org.traccar.schedule.TaskHealthCheck,2
org.traccar.protocol.RuptelaProtocolEncoder,2
org.traccar.model.Typed,2
org.traccar.schedule.ScheduleManager,2
org.traccar.geocoder.GoogleGeocoder,2
org.traccar.model.Calendar,2
org.traccar.protocol.TeltonikaProtocolDecoder,1
org.traccar.handler.network.StandardLoggingHandler,1
org.traccar.geocoder.PhotonGeocoder,1
org.traccar.geocoder.BanGeocoder,1
src.test.java.org.traccar.geocoder.GeocoderTest,1
org.traccar.geocoder.GeocodeJsonGeocoder,1
org.traccar.protocol.DmtProtocolDecoder,1
org.traccar.database.StatisticsManager,1
org.traccar.WrapperInboundHandler,1
org.traccar.protocol.T55ProtocolDecoder,1
org.traccar.protocol.XexunProtocolDecoder,1
org.traccar.model.Pair,1
org.traccar.session.ConnectionKey,1
org.traccar.session.cache.CacheKey,1
org.traccar.protocol.MeitrackProtocolEncoder,1
org.traccar.schedule.SingleScheduleTask,1
org.traccar.schedule.TaskDeleteTemporary,1
org.traccar.schedule.TaskDeviceInactivityCheck,1
org.traccar.schedule.TaskExpirations,1
org.traccar.api.resource.UserResource,1
org.traccar.protocol.MeiligaoProtocolDecoder,1
