class,qtd_refactorings
org.traccar.protocol.SnapperProtocolDecoder,4
org.traccar.reports.model.SummaryReportItem,4
org.traccar.helper.LogAction,4
org.traccar.EventLoopGroupFactory,4
org.traccar.protocol.TrvProtocolDecoder,2
org.traccar.protocol.SuntechProtocolDecoder,2
src.test.java.org.traccar.calendar.CalendarTest,1
org.traccar.model.Calendar,1
org.traccar.Main,1
org.traccar.config.Config,1
org.traccar.handler.FilterHandler,1
org.traccar.api.AsyncSocketServlet,1
org.traccar.api.resource.ReportResource,1
org.traccar.protocol.GlobalstarProtocolDecoder,1
org.traccar.protocol.Gt06ProtocolDecoder,1
org.traccar.reports.SummaryReportProvider,1
org.traccar.handler.ComputedAttributesHandler,1
org.traccar.MainModule,1
