class,qtd_refactorings
org.traccar.protocol.Gt06ProtocolDecoder,24
org.traccar.protocol.EasyTrackProtocolDecoder,17
org.traccar.forward.PositionForwarderWialon,14
org.traccar.protocol.HuabaoProtocolDecoder,6
org.traccar.protocol.GoSafeProtocolDecoder,5
org.traccar.protocol.SuntechProtocolDecoder,5
org.traccar.handler.events.FuelEventHandler,4
org.traccar.protocol.OwnTracksProtocolDecoder,4
org.traccar.api.resource.SessionResource,3
org.traccar.helper.SessionHelper,3
org.traccar.protocol.Gl200TextProtocolDecoder,3
org.traccar.api.resource.ReportResource,3
org.traccar.sms.HttpSmsClient,2
org.traccar.api.resource.AttributeResource,2
org.traccar.handler.ComputedAttributesHandler,2
org.traccar.protocol.NavtelecomProtocolDecoder,2
org.traccar.api.BaseObjectResource,2
org.traccar.api.ExtendedObjectResource,2
org.traccar.forward.PositionForwarderJson,2
org.traccar.reports.EventsReportProvider,2
org.traccar.sms.SmsManager,1
org.traccar.sms.SnsSmsClient,1
org.traccar.schedule.TaskReports,1
org.traccar.protocol.TaipProtocolDecoder,1
org.traccar.config.Keys,1
