class,qtd_refactorings
org.traccar.model.Position,31
org.traccar.protocol.Gt06ProtocolDecoder,5
org.traccar.handler.events.AlarmEventHandler,5
org.traccar.handler.events.AlertEventHandler,4
src.test.java.org.traccar.handler.events.AlertEventHandlerTest,4
src.test.java.org.traccar.handler.events.AlarmEventHandlerTest,4
org.traccar.protocol.WialonProtocol,2
org.traccar.protocol.HuabaoProtocolDecoder,2
org.traccar.handler.BasePositionHandler,2
org.traccar.handler.events.BaseEventHandler,2
org.traccar.MainModule,1
org.traccar.broadcast.MulticastBroadcastService,1
org.traccar.broadcast.RedisBroadcastService,1
org.traccar.protocol.AutoFonProtocolDecoder,1
org.traccar.protocol.B2316ProtocolDecoder,1
org.traccar.protocol.BlackKiteProtocolDecoder,1
org.traccar.protocol.CarcellProtocolDecoder,1
org.traccar.protocol.DmtProtocolDecoder,1
org.traccar.protocol.DraginoProtocolDecoder,1
org.traccar.protocol.FleetGuideProtocolDecoder,1
org.traccar.protocol.GranitProtocolDecoder,1
org.traccar.protocol.Gt30ProtocolDecoder,1
org.traccar.protocol.Jt600ProtocolDecoder,1
org.traccar.protocol.KhdProtocolDecoder,1
org.traccar.protocol.MegastekProtocolDecoder,1
org.traccar.protocol.MiniFinderProtocolDecoder,1
org.traccar.protocol.MotorProtocolDecoder,1
org.traccar.protocol.MxtProtocolDecoder,1
org.traccar.protocol.NavisProtocolDecoder,1
org.traccar.protocol.NdtpV6ProtocolDecoder,1
org.traccar.protocol.SabertekProtocolDecoder,1
org.traccar.protocol.SigfoxProtocolDecoder,1
org.traccar.protocol.SolarPoweredProtocolDecoder,1
org.traccar.protocol.SuntechProtocolDecoder,1
org.traccar.protocol.T800xProtocolDecoder,1
org.traccar.protocol.TotemProtocolDecoder,1
org.traccar.protocol.TranSyncProtocolDecoder,1
org.traccar.protocol.TytanProtocolDecoder,1
org.traccar.protocol.TzoneProtocolDecoder,1
org.traccar.protocol.WatchProtocolDecoder,1
org.traccar.protocol.Xexun2ProtocolDecoder,1
org.traccar.protocol.Minifinder2ProtocolDecoder,1
org.traccar.geocoder.JsonGeocoder,1
org.traccar.handler.ComputedAttributesHandler,1
org.traccar.handler.CopyAttributesHandler,1
org.traccar.handler.DatabaseHandler,1
org.traccar.handler.DistanceHandler,1
org.traccar.handler.DriverHandler,1
org.traccar.handler.EngineHoursHandler,1
org.traccar.handler.FilterHandler,1
org.traccar.handler.GeocoderHandler,1
org.traccar.handler.GeofenceHandler,1
org.traccar.handler.GeolocationHandler,1
org.traccar.handler.HemisphereHandler,1
org.traccar.handler.MotionHandler,1
org.traccar.handler.OutdatedHandler,1
org.traccar.handler.PositionForwardingHandler,1
org.traccar.handler.PostProcessHandler,1
org.traccar.handler.SpeedLimitHandler,1
org.traccar.handler.TimeHandler,1
org.traccar.handler.events.BehaviorEventHandler,1
org.traccar.handler.events.CommandResultEventHandler,1
org.traccar.handler.events.DriverEventHandler,1
org.traccar.handler.events.FuelEventHandler,1
org.traccar.handler.events.GeofenceEventHandler,1
org.traccar.handler.events.IgnitionEventHandler,1
org.traccar.handler.events.MaintenanceEventHandler,1
org.traccar.handler.events.MediaEventHandler,1
org.traccar.handler.events.MotionEventHandler,1
org.traccar.handler.events.OverspeedEventHandler,1
