class,qtd_refactorings
org.traccar.session.cache.CacheManager,31
org.traccar.session.ConnectionManager,11
org.traccar.broadcast.BaseBroadcastService,7
org.traccar.broadcast.BroadcastInterface,7
org.traccar.broadcast.BroadcastMessage,7
org.traccar.api.signature.TokenManager,6
org.traccar.handler.StandardLoggingHandler,6
org.traccar.api.security.LoginService,5
org.traccar.api.resource.PermissionsResource,4
org.traccar.protocol.RstProtocolDecoder,3
org.traccar.api.resource.ServerResource,3
org.traccar.api.BaseObjectResource,3
org.traccar.api.resource.AttributeResource,3
org.traccar.broadcast.RedisBroadcastService,3
org.traccar.session.cache.CacheNode,3
org.traccar.session.cache.CacheValue,3
org.traccar.api.security.SecurityRequestFilter,2
org.traccar.api.resource.SessionResource,2
org.traccar.WindowsService,2
org.traccar.protocol.Gt06ProtocolDecoder,1
org.traccar.api.security.LoginResult,1
org.traccar.api.security.UserPrincipal,1
org.traccar.notification.NotificationFormatter,1
org.traccar.model.ObjectOperation,1
org.traccar.broadcast.ObjectOperation,1
org.traccar.BaseProtocolDecoder,1
org.traccar.api.resource.DeviceResource,1
org.traccar.api.resource.UserResource,1
org.traccar.broadcast.MulticastBroadcastService,1
org.traccar.database.NotificationManager,1
org.traccar.notificators.NotificatorFirebase,1
org.traccar.notificators.NotificatorTraccar,1
org.traccar.session.cache.CacheKey,1
org.traccar.BasePipelineFactory,1
org.traccar.protocol.HuabaoProtocolDecoder,1
org.traccar.database.DeviceLookupService,1
org.traccar.protocol.Mta6ProtocolDecoder,1
