class,qtd_refactorings
org.traccar.broadcast.BaseBroadcastService,21
org.traccar.broadcast.RedisBroadcastService,19
org.traccar.broadcast.MulticastBroadcastService,13
org.traccar.protocol.Gt06ProtocolDecoder,13
org.traccar.protocol.RuptelaProtocolDecoder,10
org.traccar.protocol.GatorProtocolEncoder,9
org.traccar.forward.AmqpClient,8
org.traccar.protocol.GatorProtocolDecoder,8
org.traccar.protocol.IotmProtocolDecoder,7
org.traccar.protocol.LaipacProtocolDecoder,6
org.traccar.protocol.NavtelecomProtocolDecoder,5
org.traccar.forward.EventForwarderAmqp,4
org.traccar.forward.PositionForwarderAmqp,4
org.traccar.handler.FilterHandler,3
org.traccar.protocol.TeltonikaProtocolDecoder,3
org.traccar.helper.BufferUtil,3
org.traccar.session.state.OverspeedProcessor,3
org.traccar.api.security.PermissionsService,2
org.traccar.model.ScheduledModel,2
org.traccar.model.Schedulable,2
org.traccar.helper.ObdDecoder,2
org.traccar.protocol.TrvProtocolDecoder,2
org.traccar.MainModule,1
org.traccar.reports.RouteReportProvider,1
org.traccar.protocol.GalileoFrameDecoder,1
src.test.java.org.traccar.protocol.T622IridiumProtocolDecoderTest,1
org.traccar.schedule.TaskDeviceInactivityCheck,1
src.test.java.org.traccar.protocol.GatorProtocolEncoderTest,1
org.traccar.protocol.CastelProtocolDecoder,1
org.traccar.api.security.SecurityRequestFilter,1
org.traccar.BaseMqttProtocolDecoder,1
