class,bugs_6.2
org.traccar.notificators.NotificatorFirebase,4
org.traccar.notificators.NotificatorPushover$Message,4
org.traccar.notificators.NotificatorTelegram$LocationMessage,5
org.traccar.notificators.NotificatorTelegram$TextMessage,2
org.traccar.notificators.NotificatorTraccar,2
org.traccar.notificators.NotificatorTraccar$Message,2
org.traccar.notificators.NotificatorTraccar$NotificationObject,3
org.traccar.notificators.NotificatorWeb,1
org.traccar.protobuf.dolphin.Config.DolphinConfig,1
org.traccar.protobuf.dolphin.Config.DolphinConfig$BoolDiffItem,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$BoolDiffItem$Builder,2
org.traccar.protobuf.dolphin.Config.DolphinConfig$Config,1
org.traccar.protobuf.dolphin.Config.DolphinConfig$Config$Builder,1
org.traccar.protobuf.dolphin.Config.DolphinConfig$ConfigDiff,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$ConfigDiff$Builder,2
org.traccar.protobuf.dolphin.Config.DolphinConfig$ConfigOrBuilder,1
org.traccar.protobuf.dolphin.Config.DolphinConfig$GeoZone,6
org.traccar.protobuf.dolphin.Config.DolphinConfig$GeoZone$Builder,3
org.traccar.protobuf.dolphin.Config.DolphinConfig$IO,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$IO$Builder,2
org.traccar.protobuf.dolphin.Config.DolphinConfig$Int32DiffItem,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$Int32DiffItem$Builder,2
org.traccar.protobuf.dolphin.Config.DolphinConfig$Int64DiffItem,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$Int64DiffItem$Builder,2
org.traccar.protobuf.dolphin.Config.DolphinConfig$Service,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$Service$Builder,2
org.traccar.protobuf.dolphin.Config.DolphinConfig$Service_IOCondition,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$Service_IOCondition$Builder,2
org.traccar.protobuf.dolphin.Config.DolphinConfig$Service_IOConditionGroup,6
org.traccar.protobuf.dolphin.Config.DolphinConfig$Service_IOConditionGroup$Builder,2
org.traccar.protobuf.dolphin.Config.DolphinConfig$Service_State,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$Service_State$Builder,6
org.traccar.protobuf.dolphin.Config.DolphinConfig$Service_StateCondition,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$Service_StateCondition$Builder,2
org.traccar.protobuf.dolphin.Config.DolphinConfig$StringDiffItem,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$StringDiffItem$Builder,2
org.traccar.protobuf.dolphin.Config.DolphinConfig$Uint32DiffItem,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$Uint32DiffItem$Builder,2
org.traccar.protobuf.dolphin.Config.DolphinConfig$Uint64DiffItem,4
org.traccar.protobuf.dolphin.Config.DolphinConfig$Uint64DiffItem$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages,1
org.traccar.protobuf.dolphin.Messages.DolphinMessages$AuthenticateRequest,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$AuthenticateRequest$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$AuthenticateResponse,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$AuthenticateResponse$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CommandRequest,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CommandRequest$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CommandResponse,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CommandResponse$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigDiffRequest,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigDiffRequest$Builder,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigGetRequest,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigGetRequest$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigGetResponse,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigGetResponse$Builder,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigSetRequest,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigSetRequest$Builder,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigSetResponse,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigSetResponse$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashAccelData,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashAccelData$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashData,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashData$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashDataResponse,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashDataResponse$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCCode,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCCode$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCRecord,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCRecord$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCRequest,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCRequest$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCResposne,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCResposne$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPackRequest,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPackRequest$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPackResponse,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPackResponse$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPoint,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPoint$Builder,3
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DeviceInfo,8
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DeviceInfo$Builder,3
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FMSData,6
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FMSData$Builder,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUPackRequest,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUPackRequest$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUPacket,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUPacket$Builder,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUStartData,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUStartData$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Request,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Request$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Response,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Response$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateResp,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateResp$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$IOData,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$IOData$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogMessage,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogMessage$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogPack,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogPack$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogStart,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$LogStart$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$USSDData,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$USSDData$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass,1
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Builder,23
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$CanDt_J1939,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$CanDt_J1939$Builder,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$General,7
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$General$Builder,8
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$ICONDt,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$ICONDt$Builder,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$LLSDt,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$LLSDt$Builder,3
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$LOG,11
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$LOG$Builder,8
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$NAV,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$NAV$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$OBDDt_J1979,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$OBDDt_J1979$Builder,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$APC,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$APC$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$Builder,22
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$ExCAN,7
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$ExCAN$Builder,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$FuelSensorModbus,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$FuelSensorModbus$Builder,3
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$GenComm,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$GenComm$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$MobileEye,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$MobileEye$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$OneWire,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$OneWire$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$Pherip,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$Pherip$Builder,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$SafeDriving,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$SafeDriving$Builder,3
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$Taho_DDD,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$Taho_DDD$Builder,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$WeightControl,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$WeightControl$Builder,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Photo,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Photo$Builder,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$UniDt,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$UniDt$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage,1
org.traccar.protobuf.starlink.StarLinkMessage$StarLink_Message,4
org.traccar.protobuf.starlink.StarLinkMessage$StarLink_Message$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mAuthenticate,5
org.traccar.protobuf.starlink.StarLinkMessage$mAuthenticate$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mConfigServer,5
org.traccar.protobuf.starlink.StarLinkMessage$mConfigServer$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mConfirmation,6
org.traccar.protobuf.starlink.StarLinkMessage$mConfirmation$Builder,3
org.traccar.protobuf.starlink.StarLinkMessage$mDeviceList,7
org.traccar.protobuf.starlink.StarLinkMessage$mDeviceList$Builder,4
org.traccar.protobuf.starlink.StarLinkMessage$mEventConfig,5
org.traccar.protobuf.starlink.StarLinkMessage$mEventConfig$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mEventReport,5
org.traccar.protobuf.starlink.StarLinkMessage$mEventReport$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mEventReport_TDx,4
org.traccar.protobuf.starlink.StarLinkMessage$mEventReport_TDx$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mGenDeviceFW,5
org.traccar.protobuf.starlink.StarLinkMessage$mGenDeviceFW$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mGenDeviceMsg,5
org.traccar.protobuf.starlink.StarLinkMessage$mGenDeviceMsg$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mGeoZone,5
org.traccar.protobuf.starlink.StarLinkMessage$mGeoZone$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mGetPattern,5
org.traccar.protobuf.starlink.StarLinkMessage$mGetPattern$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mInputConfig,5
org.traccar.protobuf.starlink.StarLinkMessage$mInputConfig$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mInputs,5
org.traccar.protobuf.starlink.StarLinkMessage$mInputs$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mLatLong,5
org.traccar.protobuf.starlink.StarLinkMessage$mLatLong$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mMessage,5
org.traccar.protobuf.starlink.StarLinkMessage$mMessage$Builder,46
org.traccar.protobuf.starlink.StarLinkMessage$mMultiParam,8
org.traccar.protobuf.starlink.StarLinkMessage$mMultiParam$Builder,4
org.traccar.protobuf.starlink.StarLinkMessage$mOutputs,5
org.traccar.protobuf.starlink.StarLinkMessage$mOutputs$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mParamResponse,5
org.traccar.protobuf.starlink.StarLinkMessage$mParamResponse$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mReadIButton,5
org.traccar.protobuf.starlink.StarLinkMessage$mReadIButton$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mSpeedLimit,5
org.traccar.protobuf.starlink.StarLinkMessage$mSpeedLimit$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mTeachRemote,5
org.traccar.protobuf.starlink.StarLinkMessage$mTeachRemote$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mTempConfig,7
org.traccar.protobuf.starlink.StarLinkMessage$mTempConfig$Builder,3
org.traccar.protobuf.starlink.StarLinkMessage$mUnitIDChanged,5
org.traccar.protobuf.starlink.StarLinkMessage$mUnitIDChanged$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mWakeUp,5
org.traccar.protobuf.starlink.StarLinkMessage$mWakeUp$Builder,2
org.traccar.protocol.EasyTrackProtocolDecoder,2
org.traccar.protocol.GlobalstarProtocolDecoder,2
org.traccar.protocol.Gps056ProtocolDecoder,1
org.traccar.protocol.Gt06ProtocolDecoder,1
org.traccar.protocol.MoovboxProtocolDecoder,1
org.traccar.protocol.NavtelecomProtocolDecoder,1
org.traccar.protocol.OrbcommProtocolPoller,1
org.traccar.protocol.PricolProtocolDecoder,1
org.traccar.protocol.R12wProtocolDecoder,1
org.traccar.protocol.RaceDynamicsProtocolDecoder,1
org.traccar.protocol.SpotProtocolDecoder,1
org.traccar.protocol.SuntechProtocolDecoder,1
org.traccar.protocol.TeltonikaProtocolDecoder,1
org.traccar.protocol.TotemProtocolEncoder,1
org.traccar.protocol.TranSyncProtocolDecoder,1
org.traccar.protocol.TrvProtocolDecoder,1
org.traccar.protocol.WristbandProtocolDecoder,1
org.traccar.protocol.Xrb28ProtocolEncoder,1
org.traccar.reports.CombinedReportProvider,1
org.traccar.reports.CsvExportProvider,2
org.traccar.reports.DevicesReportProvider,2
org.traccar.reports.EventsReportProvider,2
org.traccar.reports.GpxExportProvider,2
org.traccar.reports.KmlExportProvider,2
org.traccar.reports.RouteReportProvider,2
org.traccar.reports.StopsReportProvider,2
org.traccar.reports.SummaryReportProvider,2
org.traccar.reports.TripsReportProvider,2
org.traccar.reports.common.ExpressionEvaluatorFactory,1
org.traccar.reports.common.ReportUtils,4
org.traccar.reports.model.BaseReportItem,4
org.traccar.reports.model.CombinedReportItem,6
org.traccar.reports.model.DeviceReportItem,6
org.traccar.reports.model.DeviceReportSection,1
org.traccar.schedule.TaskClearStatus,1
org.traccar.schedule.TaskDeleteTemporary,1
org.traccar.schedule.TaskDeviceInactivityCheck,1
org.traccar.schedule.TaskExpirations,2
org.traccar.schedule.TaskHealthCheck,2
org.traccar.schedule.TaskReports,1
org.traccar.schedule.TaskWebSocketKeepalive,1
org.traccar.session.ConnectionManager,3
org.traccar.session.cache.CacheManager,5
org.traccar.session.cache.CacheNode,3
org.traccar.session.state.MotionState,4
org.traccar.session.state.OverspeedState,4
org.traccar.storage.DatabaseStorage,5
org.traccar.storage.query.Columns$Include,1
org.traccar.web.ConsoleServlet,2
org.traccar.web.OverrideFilter,2
org.traccar.web.ResponseWrapper,1
org.traccar.web.WebRequestLog,1
org.traccar.web.WebServer,1
