class,bugs_5.4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CommandResponse$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigDiffRequest,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigDiffRequest$Builder,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigGetRequest,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigGetRequest$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigGetResponse,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigGetResponse$Builder,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigSetRequest,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigSetRequest$Builder,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigSetResponse,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$ConfigSetResponse$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashAccelData,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashAccelData$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashData,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashData$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashDataResponse,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$CrashDataResponse$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCCode,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCCode$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCRecord,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCRecord$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCRequest,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCRequest$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCResposne,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DTCResposne$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPackRequest,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPackRequest$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPackResponse,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPackResponse$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPoint,6
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DataPoint$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DeviceInfo,9
org.traccar.protobuf.dolphin.Messages.DolphinMessages$DeviceInfo$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FMSData,7
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FMSData$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUPackRequest,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUPackRequest$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUPacket,6
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUPacket$Builder,4
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUStartData,5
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FUStartData$Builder,2
org.traccar.protobuf.dolphin.Messages.DolphinMessages$FirmwareUpdateInfo_Request,5
